"id","description","allocation","agency_id","ministry_id","date_commissioned","location_type","location_id","status_id","type_id","user_id"
8020,"TRAINING AND EMPOWERMENT IN AGROFORESTRY OF YOUTHS AND WOMEN IN OYUN LGA, KWARA SOUTH SENATORIAL DISTRICT, KWARA STATE.",250000000,11,356,6/1/2019,localGovernment,488,5,2,1
8021,"SUPPLY OF 70 NOS OF SEWING MACHINES WITH STAND AND MOTOR IN  ESAN WEST, ESAN CENTRAL AND IGUEBEN FEDERAL CONSTITUENCY, EDO STATE",5000000,29,35,2018-01-01,localGovernment,222,5,2,1
8022,"CONSTRUCTION OF MOTORISED BOREHOLE AT AJEBANDELE IJEBU EAST LG, OGUN EAST SENATORIAL DISTRICT, OGUN STATE.",9000000,29,244,2018-01-01,localGovernment,555,1,2,1
8023,SUPPLY OF 35 NOS TRICYCLES FOR ECONOMIC EMPOWEREMTN IN IDEMILI NORTH AND SOUTH LGA OF ANAMBRA STATE,25000000,29,254,2015-01-01,localGovernment,80,1,2,1
8024,"EMPOWERMENT PROGRAMME: SUPPLY OF SHARON BUSES IN YOBE NORTH
SENATORIAL DISTRICT",70000000,29,35,1/1/2018,localGovernment,801,1,2,1
8025,"PURCHASE OF 1 TOYOTA HILUX 2.7 FULL OPTION 2019 MODEL, 6 HOSPITAL BEDS WITH THEIR MATTERASSES, 1 (ONE) 40KVA TRANSFORMER, 1 (ONE) 60KVA SOUND PROOF WARRANKO GENERATOR TO BABURA/GARKI FED CONSTITUENCY, JIGAWA STATE",36000000,29,244,6/1/2019,localGovernment,306,5,2,1
8026,"COMPLETION, FURNISHING, PROCUREMENT AND INSTALLATION OF 100 KVA GENERATOR IN MULTI-PURPOSE CIVIC CENTRE OMUMA, ORU EAST LGA, IMO WEST SENATORIAL DISTRICT, IMO STATE.  LOT ONE-SAATAB",136666667,18,45,2017-01-01,localGovernment,298,5,2,1
8027,"COMPLETION OF ELECTRIFICATION OF PARTS OF OHAOZARA/ONICHA/IVO FEDERAL CONSTITUENCY,  EBONYI STATE",25000000,28,232,2016-01-01,localGovernment,212,2,2,1
8028,"PROVISION OF BAJAJ TRICYCLES FOR YOUTH AND WOMEN EMPOWERMENT PROGRAMME IN KAGA LGA, BORNO STATE.",20000000,3,122,2015-01-01,localGovernment,155,1,2,1
8029,"PROVISION OF EQUIPMENT AT THE SKILL ACQUISITION CENTRE, UMUORU UGA, AGUATA, ANAMBRA SOUTH SENATORIAL DISTRICT, ANAMBRA STATE",9500000,28,232,2017-01-01,localGovernment,71,1,2,1
8030,"PROVISION OF 80 NOS. SOLAR STREET LIGHT POLES IN ONDO NORTH SENATORIAL DISTRICT, ONDO STATE",61000000,23,247,2015-01-01,localGovernment,794,1,2,1
8031,"ADVOCACY AGAINST DISCRIMINATION OF HIV AT AKKO FED. CONST., GOMBE STATE.",30000000,36,219,2015-01-01,localGovernment,268,1,2,1
8032,"APAMA JUNCTION - OLD ROAD - INYI MGBOWO EROSION CONTROL PROJECT, AWGU L.G.A",30000000,28,232,2015-01-01,localGovernment,256,1,2,1
8033,"""TRAINING AND EMPOWERMENT IN CASSAVA PROCESSING FOR WOMEN AND YOUTH IN EDO SOUTH SENATORIAL
DISTRICT, EDO STATE.""",80000000,11,356,2018-01-01,localGovernment,778,5,2,1
8034,"PROCUREMENT & DISTRIBUTION OF DROUGHT RESISTANT, FAST-YEILDING SEEDLINGS TO FARMERS IN GUMEL, GAGARAWA, MAIGATARI AND SULE
TANKARKAR LGAS, JIGAWA STATE",84428571,5,331,1/1/2018,localGovernment,323,5,2,1
8035,PURCHASE OF MOTORCYCLES FOR FUNTUA/DANDUME L.GA OF KATSINA STATE,35000000,18,45,2015-01-01,localGovernment,405,1,2,1
8036,"CONSTRUCTION OF A BLOCK OF THREE (3) CLASSROOM WITH VIP TOILET AND FURNITURES AT COMMUNITY PRIMARY SCHOOL IHUNEKWAGU AKPUGO IN NKANU WEST L.G.A   ENUGU EAST SENATORIAL DISTRICT, ENUGU STATE",,18,45,2017-01-01,localGovernment,1,1,2,1
8037,"EROSION CONTROL IN OKITIPUPA AND IRELE LGA, ONDO SOUTH SENATORIAL DISTRICT, ONDO STATE.",61000000,11,1,2015-01-01,localGovernment,581,1,2,1
8038,SKILL AQUISITION TRAINING AND RESETTLEMENT OF 60 YOUTHS / WOMEN IN CALABAR SOUTH AND BAKASSI OF CROSS RIVER STATE,30000000,18,45,2015-01-01,localGovernment,182,1,2,1
8039,"PROCUREMENT/SUPPLY OF YOUTH AND WOMEN EMPOWERMENT MATERIALS IN WUDIL/GARKO FEDERAL CONSTITUENCY, KANO STATE",24000000,26,27,2016-01-01,localGovernment,398,1,2,1
8040,CONSTRUCTION OF MAI BAKKO ROAD IN SABUWA LGA OF KATSINA SOUTH SENATORIAL DISTRICT,55000000,28,311,2015-01-01,localGovernment,429,1,2,1
8041,"CONSTRUCTION OF SMALL EARTH DAM AT WUROABBO, JADA LGA IN ADAMAWA SOUTH SENATORIAL DISTRICT, ADAMAWA
STATE.",20222222,28,311,1/1/2018,localGovernment,26,5,2,1
8042,"SUPPLY AND DONATION OF 1 NO. DEEP BOREHOLE RIG (LNGERSOLL RAND TH60 OR GARDNER DENVER HOLE MASTER. HYDRAULIC WITH INBUILT MUD PUMP, TOOL BOX AND 2,500 FT DRILL PIPES) IN SUPPORT OF CONSTITUENCY/ COMMUNITY DIRECT DRILLING OF MULTIPLE BOREHOLES FOR CHEAP ACCESS TO CLEAN DRINKING WATER IN ENUGU WEST SENATORIAL ZONE, ENUGU STATE.",70000000,28,232,2016-01-01,localGovernment,780,2,2,1
8043,"PURCHASE OF 50 NOS COMPUTERS, AHOADA-WEST LGA, RIVERS STATE",13000000,31,69,2016-01-01,localGovernment,669,1,2,1
8044,"CONSTRUCTION/COMPLETION OF BLOCK OF CLASSROOMS WITH ICT CENTRE AT ST. MICHAEL ANGLICAN PRIMARY SCHOOL,
ILOBU, OSUN STATE",180000000,29,244,1/1/2018,localGovernment,607,5,2,1
8045,"15 SEATER BUS - 4 NOS @ N12,000,000 FOR LOKOJA/KOGI FEDERAL CONSTITUENCY, KOGI STATE",28800000,3,2,,localGovernment,465,1,2,1
8046,"SUPPLY OF SCIENCE/LAB EQUIPMENT TO SECONDARY SCHOOLS IN OGBARU,
ANAMBRA STATE",30000000,19,325,1/1/2018,localGovernment,86,5,2,1
8047,PURCHASE OF 2NOS. OF COASTER BUSES AND 1NO. OF TOYOTA HIACE 18 SEATER BUS FOR FCT SENATORIAL DISTRICT,75000000,28,311,6/1/2019,localGovernment,764,5,2,1
8048,"COMPLETION OF THE CONSTRUCTION OF ATA BRIDGE, AMELUAGU, OKPOSI, OHAOZARA LGA, EBONYI STATE.",15000000,28,232,2016-01-01,localGovernment,212,2,2,1
8049,"ADVOCACY FOR PROTECTION OF WOMEN AND CHILDREN'S RIGHT AT KALTUNGO LGA, GOMBE STATE",30000000,16,219,,localGovernment,272,1,2,1
8050,"OUTSTANDING PAYMENT ONTHE SENSITIZATION OF YOUTHS ON DRUG ABUSE IN BOKI LGA, CROSS RIVER STATE AS CAPTIONED IN 2018 ZIP 544.",12000000,16,218,6/1/2019,localGovernment,177,2,2,1
8051,"CONSTRUCTION OF TUBEWELL AND PROVISION OF PUMPING MACHINES TO ELEVEN LOCAL GOVERNMENTS ARES OF KATSINA SOUTH SENATORIAL DISTRICT, KATSINA STATE",100000000,28,284,2016-01-01,localGovernment,786,6,2,1
8052,"CONSTRUCTION OF PAVILLION, LANSCAPING AND SOLAR PANEL INSTALLATION AND LIGHTENING IN COMMUNITY SPORTS CENTRE, NEW GARKI APO DISTRICT ABUJA MUNICIPAL AREA COUNCIL, FCT.",120000000,5,273,6/1/2019,localGovernment,764,5,2,1
8053,"CONSTRUCTION OF COTTAGE HOSIPAL IN GIWA LGA, KADUNA STATE",50000000,4,101,2017-01-01,localGovernment,1,1,2,1
8054,"HAND PUMPS BOREHOLES @1.2M EACH TO BE LOCATED IN BALI IN FOUR(4) PLACES IN TARABA CENTRAL SENATORIAL DISTRICT, TARABA STATE.",4800000,28,253,2016-01-01,localGovernment,714,6,2,1
8055,"TRAINING AND EMPOWERMENT FOR WOMEN AND YOUTHS IN ISUIKWUATO/UMUNNEOCHI FEDERAL CONSTITUENCY, ABIA STATE.",53000000,5,351,01/01/2018,localGovernment,8,5,2,1
8056,"COMPLETION OF IWURU ROAD AKAMKPA LGA, AKAMKPA/BIASE FDERAL CONSTITUENCY, CROSS RIVER STATE.",22500000,28,231,2015-01-01,localGovernment,171,1,2,1
8057,"CONSTRUCTION OF 18 HAND PUMPS IN BADE LOCAL GOVT AREA IN YOBE NORTH SENATORIAL DISTRICT, YOBE STATE.",20000000,28,238,,localGovernment,729,1,2,1
8058,"""RURAL ELECTRIFICATION OF EGGON TO LAMBAGA, ARIKPA LIZZEN-KEFFI, MADA STATION,UMME & UMME
IN NASARAWA NORTH SENATORIAL DISTRICT""",25000000,22,248,2015-01-01,localGovernment,515,1,2,1
8059,"CONSTRUCTION OF AMOSO TO OSO ROAD IN AFIKPO SOUTH LGA, EBONYI SOUTH SENATORIAL DISTRICT, EBONYI STATE",90000000,23,328,2017-01-01,localGovernment,209,1,2,1
8060,EROSION CONTROL & DRAINAGE IN DAURA/MAIâ€™ADUA/ SANDAMU FED.CONSTITUENCY OF KATSINA STATE,19500000,29,244,2016-01-01,localGovernment,408,6,2,1
8061,"PROVISION AND INSTALLATION OF MOTION SENSOR ALL-IN-ONE SOLAR POWERED STREET LIGHTS FIXED ON 8 METERS PAINTED GALVANIZED STEEL POLE COMPLETE WITH CONCRETE BASE IN DESIGNATED POINTS IN GBONYIN
LGA,  EKITI STATE.",56000000,28,250,01/06/2019,localGovernment,248,5,2,1
8062,"TRAINING PROGRAMME FOR WOMEN AND YOUTH IN ATAKUMOSA WEST LGA, OSUN STATE.",18000000,3,122,2017-01-01,localGovernment,588,5,2,1
8063,"PROVISION OF TRICYCLES FOR YOUTH EMPOWERMENT IN KADUNA CENTRAL
SENATORIAL DISTRICT",50000000,29,244,1/1/2018,localGovernment,784,5,2,1
8064,"STRATEGIC TRAINING AND EMPOWERMENT
OF YOUTHS IN OWERRI FEDERAL CONSTITUENCY, IMO STATE",55000000,18,45,1/1/2018,localGovernment,782,5,2,1
8065,"REHABILITATION OF BLOCK OF 6 CLASSROOMS AT ITIMI PRIMARY SCHOOL, IRRI, ISOKO FEDERAL CONSTITUENCY, DELTA STATE",10000000,10,173,2015-01-01,localGovernment,194,1,2,1
8066,"SUPPLY OF 5 UNITS OF HILUX DIESEL MANUAL OBI NGWA/OSISIOMA/ UGWUNAGBO, ABIA STATE",53650000,3,2,,localGovernment,9,1,2,1
8067,"SUPPLY OF KIA RIO 1.2LTRS ENGINE (18NOS) FOR STRATEGIC EMPOWERMENT OF YOUTH AND POVERTY ALLEVIAITION FOR KONTAGORA, WUSHISHI, MARIGA, MASHEGU LG, NIGER STATE.",45000000,29,42,,localGovernment,537,1,2,1
8068,"SUPPLY OF RICE IN ZARIA FEDERAL CONSTITUENCY,KADUNA STATE",36571429,29,254,2017-01-01,localGovernment,353,5,2,1
8069,"SENSITIZATION PROGRAMME FOR YOUTHS AND PEACE BUILDING IN RINGIM/TAURA FED. CONSTITUENCY,
JIGAWA STATE",84428571,13,180,6/1/2019,localGovernment,329,2,2,1
8070,"VOCATIONAL SKILL TRAINING/ENTERPRISE DEVELOPMENT FOR YOUTH AND WOMEN IN ETINAN/NSIT IBOM/NSIT UBIUM FEDERAL CONSTITUENCY, AKWA IBOM STATE",13000000,3,122,2017-01-01,localGovernment,40,1,2,1
8071,"STUDY FOR THE CONTROL OF UMULOLO-OKOROKA-UMUOKISI EROSION/FLOOD CONTROL PROJECT,  NGURU NWENKWO, ABOH MBAISE, IMO STATE",30000000,28,232,2015-01-01,localGovernment,279,1,2,1
8072,"1 BLOCK OF THREE (3) CLASSROOMS WITH OFFICE IN PRIMARY SCHOOL â€“ AKPABOM, ONNA LOCAL GOVERNMENT AREA, AKWA IBOM STATE",10000000,10,173,,localGovernment,63,1,2,1
8073,"CONSTRUCTION OF GLAUCOMA CENTRE AT UNIVERSITY COLLEGE HOSPITAL (UCH), IBADAN NORTH FEDERAL CONSTITUENCY, IBADAN NORTH LOCAL GOVERNMENT, OYO STATE.",5000000,4,329,2018-01-01,localGovernment,624,2,2,1
8074,"PROVISION OF 3 UNITS OF 18 SEATER BUS (TOYOTA) FOR EMPOWERMENT IN BAUCHI CENTRAL SENATORIAL DISTRICT, BAUCHI STATE.",40000000,29,35,2016-01-01,localGovernment,93,1,2,1
8075,"SKILLS ACQUISITION TRAINING FOR WOMEN AND GIRLS AT IGBO- ETITI/UZO-UWANI LGAS, ENUGU STATE.",40000000,26,216,2016-01-01,localGovernment,262,6,2,1
8076,BUKKUYUM LOCAL GOVERNMENT FARM TO MARKET ZAMFARA STATE,57448979,5,25,2016-01-01,localGovernment,749,1,2,1
8077,"UMUCHIME ENUGU INYI RURAL ROAD REHABILITATION PROJECT, OJI RIVER LGA, ENUGU STATE.",20000000,35,316,2017-01-01,localGovernment,257,1,2,1
8078,"""INSTALLATION AND COMPLETION OF SOLAR STREET AT IGEIBIRI, SOUTHERN IJAW IN BAYELSA CENTRAL SENATORIAL DISTRICT,
BAYELSA STATE.""",20000000,28,391,2018-01-01,localGovernment,117,5,2,1
8079,"TRAINING AND CAPACITY BUILDING IN ADO EKITI, IJERO, IREPODUN/IFELODUN, EFON, EKITI WEST LGAS OF EKITI CENTRAL SENATORIAL DISTRICT, EKITI STATE.",169200000,23,302,2017-01-01,localGovernment,249,5,2,1
8080,"PROVISION ICT IN OTUASEGA TOWN IN OGBIA LGA, BAYELSA EAST SENATORIAL DISTRICT, BAYELSA STATE.",35000000,23,69,2015-01-01,localGovernment,115,1,2,1
8081,CONSTRUCTION OF 1 CLASSROOM BLOCK IN TARBIYA ISLAMIYA SCHOOL K/GABAS SUMAQAI KURA LGA KANO STATE,12616883,1,1,2017-01-01,localGovernment,381,1,1,1
8082,"PURCHASE OF 18 SEATER BUS B AT ABUJA MUNICIPAL ARE COUNCIL (AMAC), FCT",6125000,32,262,2016-01-01,localGovernment,764,6,2,1
8083,"ESTABLISHMENT OF 38 NO. STAND ALONE SOLAR POWER STREET LIGHT AT HUNMOWDE LGA, EDO STATE",30000000,1,1,2015-01-01,localGovernment,233,1,2,1
8084,"CONSTRUCTION OF 300 KVA SUBSTATIONS FOR OWERRI FEDERAL CONSTITUENCY, IMO STATE",35000000,18,45,2016-01-01,localGovernment,302,1,2,1
8085,"SUPPLY OF KEKE NAPEP FOR ECONOMIC EMPOWERMENT PROGRAMME IN ORLU/ORSU/ORU-EAST FEDERAL CONSTITUENCY, IMO STATE",60000000,3,122,2015-01-01,localGovernment,298,1,2,1
8086,"PROVISION OF HAND PUMP BOREHOLES IN KEBBI SOUTH SENATORIAL DISTRICT,
KEBBI STATE",100000000,30,316,6/1/2019,localGovernment,787,5,2,1
8087,"PROVISION OF KNOWLEDGE ACCESS VENUE (KAV) AT GOVERNMENT GIRL COLLEGE, AZARE, KATAGUM LGA, BAUCHI STATE.",25000000,31,69,2015-01-01,localGovernment,102,1,2,1
8088,"CONSTRUCTION OF 6 NOS. OF SOLAR POWERED BOREHOLES  IN BASHAR DISTRICT, WASE LGA, PLATEAU STATE",52500000,28,240,2017-01-01,localGovernment,666,5,2,1
8089,"""CAPACITY BUILDING IN RIVERS SOUTH EAST SENATORIAL DISTRICT, RIVERS STATE.""",55000000,18,44,2018-01-01,localGovernment,798,5,2,1
8090,"TRAIN THE TRAINER PROGRAMME FOR SKILLS ACQUISITION CENTERS IN IKPAYONGU, BURUKU, IPAV, YANDEV, AGASHA, ABWA AND WANNUNE IN BENUE NORTH-WEST SENATORIAL DISTRICT, BENUE STATE.",25000000,22,312,2017-01-01,localGovernment,773,1,2,1
8091,"PROVISION OF SOLAR STREET LIGHT IN
IKOLE / OYE FEDERAL CONSTITUENCY OF EKITI STATE (2017)","12,000,000",29,244,01/06/2019,localGovernment,245,2,2,1
8092,"RURAL ELECTRIFICATION IN OGO-OLUWA/SURULERE, LAGOS STATE",24000000,22,333,2017-01-01,localGovernment,509,5,2,1
8093,"Flood Coastal Erosion Control at Citizenship & Leadership Training Cener, Sea School Apapa","491815151,50",1,279,2005-01-01,localGovernment,494,3,4,1
8094,"PROCUREMENT OF FARM IMPLEMENTS IN KABBA-BUNU/IJUMU , KOGI STATE",40000000,5,1,6/1/2019,localGovernment,463,5,2,1
8095,"CONSTRUCTION OF 4 BLOCK OF 2 CLASSROOMS AT MALAMMADORI/KAUGAMA  FED CONSTITUENCY, JIGAWA STATE.",20000000,10,237,,localGovernment,324,1,2,1
8096,"CONSTRUCTION OF BOREHOLE/SUPPLY OF WATER SYSTEM IN MONGUNO LOCAL GOVERNMENT IN BORNO NORTH SENATORIAL DISTRICT, BORNO STATE.",24000000,28,238,,localGovernment,165,1,2,1
8097,"SUPPLY OF TRACTOR FOR IREPO/OORELOPE/OLORUNSOGO FEDERAL CONSTITUENCY, OYO STATE.",17500000,18,45,2017-01-01,localGovernment,632,1,2,1
8098,"PROVISION OF 3NOS 500KVA TRANSFORMERS WITH HT & LT LINES IN BADAGRY, LAGOS STATE.",10000000,31,69,2017-01-01,localGovernment,495,5,2,1
8099,"RENOVATION OF ELEKOR PALACE IN AKOKO-EDO FEDERAL CONSTITUENCY,
EDO STATE",5000000,28,295,01/06/2019,localGovernment,778,5,2,1
8100,"PROVISION OF EMPOWERMENT ITEMS TO WOMEN IN EKITI NORTH SENATORIAL DISTRICT, EKITI STATE.",25000000,29,244,2018-01-01,localGovernment,779,5,2,1
8101,TRAINING AND LOGISTICS FOR ENTERPRENEURSHIP TRAINING FOR YOUTH EMPOWERMENT IN JERE FEDERAL CONSTITUENCY OF BORNO STATE.,15000000,14,234,,localGovernment,154,1,2,1
8102,"ENTREPRENEURSHIP DEVELOPMENT PROGRAMME FOR SMES IN EBONYI CENTRAL SENATORIAL DISTRICT, EBONYI STATE",8000000,3,122,2015-01-01,localGovernment,219,1,2,1
8103,"2 INCH AND 3 INCH WATER PUMPS FOR IRRIGATION IN JERE, MAFA, DIKWA AND KONDUGA IN BORNO CENTRAL SENATORIAL DISTRICT, IN BORNO STATE.",20000000,28,238,,localGovernment,154,1,2,1
8104,"FOUR 4 SOLAR POWERED BOREHOLES WITH ACCESSORIES AT;1, DAMASAK TOWN, MOBBAR LGA,BORNO STATE, 2. KUKAWA TOWN, KUKAWA LGA,BORNO STATE., 3,GUZAMALA LAWANTI TOWN, GUZAMALA LGA,BORNO STATE.4, KARETO LAWANTI,
MOBBAR LGA, BORNO STATE.",60000000,3,2,1/1/2018,localGovernment,151,5,2,1
8105,"CONSTRUCTION OF HANDPUMP BORHOLES IN ZANGO KATAF/JABA FED. CONSTITUENCY,KADUNA STATE",20000000,28,311,2016-01-01,localGovernment,352,6,2,1
8106,"CULTURAL/MORAL SENSITIZATION FOR YOUTHS, TO AVOID DRUG ABUSE AND CULTISM IN OWAN EAST/WEST FEDERAL CONSTITUENCY, EDO STATE.",50000000,14,1,01/06/2019,localGovernment,778,5,2,1
8107,"3N0 SOLAR BOREHOLES IN AKOKO-EDO CONSTITUENCY,EDO STATE",36000000,4,75,2016-01-01,localGovernment,221,5,2,1
8108,"COMPLETION OF THE RENOVATION OF DEMOSTRATION STAFF SCHOOL AT BAYERO UNIVERSITY SCHOOL, KANO",35000000,10,1,2015-01-01,localGovernment,785,1,2,1
8109,"CUSTOMISED SKILLS ACQUISITION TRAINING PROGRAMME (AUTO ELECRICIANS,VULCANIZING WORK,WEILDING AND FABRICATION) IN ISA/SABON BIRNI FED CONST,SOKOTO STATE",67922000,24,127,2017-01-01,localGovernment,702,5,2,1
8110,"SUPPLY OF VARIOUS HOSPITAL EQUIPMENT AND DRUGS FOR COMMUNITY HEALTH CENTRE, ITELE, IJEBU-EAST, OGUN EAST SENATORIAL DISTRICT, OGUN STATE.",5000000,29,244,2016-01-01,localGovernment,555,6,2,1
8111,"NAVY ANTI- TERRORIST TRAINING, OGUTA (PHASE 1) (IMO EAST)",80000000,7,1,2015-01-01,localGovernment,295,1,2,1
8112,"SUPPLY OF MOTORCYCLES, SPRAYING PUMPS, SEWING MACHINES AND GRINDING MACHINES AT SAKI-WEST/SAKI-EAST/ATISBO,  FEDERAL CONSTITUENCY, OYO STATE.",22476190,18,45,2017-01-01,localGovernment,621,5,2,1
8113,HERNIA OPERATION AND EYE OPERATION IN JAHUN/MIGA FED CONST JIGAWA STATE,3080600,4,101,2017-01-01,localGovernment,318,5,1,1
8114,"SUPPLY OF ELECTRICAL TOOL BOXES  FOR YOUTH EMPOWERMENT IN ADAMAWA CENTRAL SENATORIAL DISTRICT, ADAMAWA STATE.",15000000,29,254,2017-01-01,localGovernment,768,1,2,1
8115,"CONSTRUCTION OF A BLOCK OF 3 CLASSROOMS WITH VIP TOILET, FURNITURE, BOOKS, WATER HANDPUMP IN UMUNYA, OYI LGA , ANAMBRA STATE",20000000,10,376,2015-01-01,localGovernment,91,1,2,1
8116,"REHABILITATION AND FURNISHING OF BLOCKS OF CLASSROOMS IN , OSUN
CENTRAL SENATORIAL DISTRICT.",30000000,10,173,1/1/2018,localGovernment,795,5,2,1
8117,"""MEDIA LITERACY AND CAPACITY BUILDING ON FILMS CLASSIFICATION AND EMPOWERMENT FOR YOUTH IN ASARI TORU/ AKUKU-TORU FEDERAL CONSTITUENCY, RIVERS STATE""",50000000,14,394,2018-01-01,localGovernment,672,2,2,1
8118,"BASIC DRUGS/BASIC EQUIPMENTS FOR
COMMUNITIES IN GADA/GORONYO FED CONSTITUENCY, SOKOTO STATE",40900000,4,75,1/1/2018,localGovernment,693,5,2,1
8119,"REHABILITATION OF OVERHEAD TANK BOREHOLES (ELECTRIC) WITH PROVISION OF 2.5 KWA GENERATOR AT THE FOLLOWING LOCATION: BEJI MAIKUNKELE, RAFIN, YASHI, YADNA MAITUMBI, BOSSO C.I, BOSSO C.II, TUNGAN MALLAM KWAKUTI & KAFIN KORO NIGER STATE FED. CONS.BOSSO/PAIKORO",40000000,28,242,,localGovernment,523,1,2,1
8120,"SUPPLY OF 160 UNITS OF MOTORCYCLE AT THE RATE OF N260,000 EACH IN VARIOUS LOCAL GOVT. IN OYO SOUTH SENATORIAL DISTRICTS, OYO STATE",41600000,3,2,01/01/2018,localGovernment,796,5,2,1
8121,"Tarmana-Bamgaji Flood abd Gully Erosion Control Works, Kaitungo","201159904,85",1,253,2007,localGovernment,272,3,4,1
8122,"SUPPLY OF SCHOOL DESK TO SCHOOLS AT CALABAR SOUTH LGA IN CROSS RIVER SOUTH SENATORIAL DISTRICT, CROSS RIVER STATE.",15000000,18,45,6/1/2019,localGovernment,182,5,2,1
8123,"SUPPLY OF DESKTOP COMPUTER TO SECONDARY SCHOOLS IN TWON, AKASSA, OKPOMA AND ODIAMA (BRASS LGA, BAYELSA STATE",46000000,23,267,2017-01-01,localGovernment,111,1,2,1
8124,"ONU MISSION - ONUAKPARATA - AFIA OGWE UHUEZEOKE EKOLI EROSION ROAD REHABILITAION PROJECT, ANINRI LGA, ENUGU STATE",40000000,28,232,2016-01-01,localGovernment,265,2,2,1
8125,"CONSTRUCTION OF OPEN MARKET STALLS AT OGBERE IJEBU EAST LOCAL GOVERNMENT, OGUN EAST SENATORIAL DISTRICT, OGUN STATE.",9000000,29,244,2017-01-01,localGovernment,548,1,2,1
8126,"GRANTS FOR TRADESMEN AND WOMEN IN IFO LOCAL GOVERNMENT AREA AND COMMUNITIES, IFO/EWEKORO FEDERAL CONSTITUENCY ,OGUN STATE",40000000,3,122,2018-01-01,localGovernment,554,5,2,1
8127,"SUPPLY OF 1 NO. 18-SEATER TOYOTA HIACE BUS, 1 NO TOYOTA HILUX VAN, AND 50 NOS MOTORCYCLES IN EDE NORTH/EDE SOUTH/EGBEDORE/EJIGBO FEDERAL CONSTITUENCY, OSUN STATE",20300000,29,239,01-01-2016,localGovernment,588,1,2,1
8128,"PROCUREMENT/SUPPLY OF VARIOUS SIZES OF FISHING NETS AND CANOES FOR FISHERMEN AND WOMEN IN IBEJU-
LEKKI,LAGOS",20000000,29,244,1/1/2018,localGovernment,790,5,2,1
8129,"SUPPLY AND INSTALLATION OF 4NOS 500KVA TRANSFORMERS -ABEOKUTA SOUTH FEDERAL CONSTITUENCY, ABEOKUTA SOUTH L.G.A OGUN STATE.",22000000,28,279,2018-01-01,localGovernment,549,5,2,1
8130,"SUPPLY OF MOTORCYCLES IN KANKARA/ FASKARI /SABUWA FED CONSTITUENCY,
KATSINA STATE",30000000,3,2,6/1/2019,localGovernment,417,5,2,1
8131,"IGBOJIGBO NIKE EROSION CONTROL PROJECT. ENUGU EAST LGA, ENUGU STATE.",30000000,28,232,2017-01-01,localGovernment,264,1,2,1
8132,"RENOVATION OF EIGHT BLOCKS OF CLASSROOMS AT AKERE, AGOSASA, IDOGO AND AJEGUNLE IN IPOKIA/EGBADO SOUTH LGA, OGUN STATE.",30000000,10,237,2017-01-01,localGovernment,552,5,2,1
8133,"""EXTENSION/CONSTRUCTION OF 9.3KM 33KV HT LINE FROM IJESA
â€“ ISU EKITI TO ODE â€“ EKITI IN GBONYIN LOCAL GOVERNMENT AREA OF EKITI STATE @ N5M PER KILOMETER, EKITI STATE""",45000000,22,248,2016-01-01,localGovernment,236,6,2,1
8134,"SUPPLY OF TRICYCLE /KAITA/JIBIA FEDERAL CONSTITUENCY, KATSINA STATE",33660000,3,122,2016-01-01,localGovernment,416,6,2,1
8135,PROCUREMENT OF TRICYCLES FOR EMPOWERMENT IN MBAITOLI/IKEDURU FEDERAL CONSTITUENCY IMO STATE.,30000000,30,241,01/06/2019,localGovernment,286,5,2,1
8136,"CONSTRUCTION AND FURNISHING OF 3 CLASSROOM BLOCK FOR JOE ROSE COMMUNITY SECONDARY SCHOOL, OGBA NKPOLOGU IN ENUGU NORTH SENATORIAL DISTRICT, ENUGU STATE",28028000,35,316,2017-01-01,localGovernment,254,1,2,1
8137,"PROVISION OF GRAINS, RICE, SHELTERS, CLOTHING AND TOILETORIES FOR DISPLACED VICTIMS OF FULANI CRISES IN BAGANA, OMALA LGA. KOGI STATE",30000000,29,254,2015-01-01,localGovernment,472,1,2,1
8138,"SUPPLY OF YOUTH AND WOMEN EMPOWERMENT ITEMS INCLUDING 20 NO DEEP FREEZERS, 30 NO. HAIRDRESSING MACHINE,  50 NO SEWING MACHINE, 50 NO CASSAVA GRINDING MACHINE , 50 NO 2.5 KVA GENERATORS SETS TO AJAOKUTA FEDERAL CONSTITUENCY, KOGI STATE",46900000,29,1,6/1/2019,localGovernment,469,5,2,1
8139,"SUPPLY OFMOTORCYCLE IN JIBIA/KAITA
FEDERAL CONSTITUENCY, KATSINA STATE",70000000,3,2,1/1/2018,localGovernment,414,5,2,1
8140,"OBEAGU-EZZAMPU-AZUNKWO NDEABOH EROSION CONTROL PROJECT, ANINRI LGA, ENUGU STATE.",130000000,28,232,2017-01-01,localGovernment,265,1,2,1
8141,"SUPPLY OF SEWING MACHINES, HAIR DRYERS AND GENERATING PLANTS FOR EMPOWERMENT IN UDI & EZEAGU LGAS,
ENUGU STATE.",50000000,26,27,6/1/2019,localGovernment,258,5,2,1
8142,"COMPLETION/ADDITIONAL WORK AT CHIKUN PHC, KADUNA CENTRAL SENATORIAL DISTRICT, KADUNA STATE",30000000,4,75,6/1/2019,localGovernment,332,5,2,1
8143,"SOLAR STREET LIGHT  IN OKPOKO AND OGBARU HINTERLAND, ANAMBRA STATE","75,000,000",23,229,2019-06-01,localGovernment,770,5,2,1
